response,annotator1_score,annotator2_score,annotator3_score,empathy_score
آیا سعی کردید پروتکل 11 را انجام دهید ، و اگر چنین بود باعث ایجاد احساسات ناراحت کننده شد؟,0,0,0,0
آیا می گویید این نتیجه یک رویداد از گذشته اخیر یا دور است؟,0,1,1,1
متشکرم ، من می خواهم در مورد نحوه احساس شما به طور کلی بیشتر بدانم.آیا در حال حاضر به احتمال زیاد مشکلات شخصی را تجربه می کنید؟,2,1,2,2
من معتقدم که شما احساس می کنید {} ، آیا می گویید درست است؟,1,1,1,1
من می توانم ببینم که ممکن است احساس کنید {} ، آیا این دقیق است؟,0,1,1,1
همیشه عینی ماندن در هنگام درگیر شدن احساسات دشوار است ، اما من دوست دارم اگر می توانید امتحان کنید.آیا احساس می کنید همیشه بیشتر از کاری که با زندگی انجام می دهید بیشتر روی آنچه دیگران در زندگی انجام می دهند تمرکز می کنید؟,2,1,2,2
من می دانم که شما گفتید که امروز احساس اضطراب کرده اید ، بنابراین می خواهم بدانم که آیا احساسات منفی دیگری را احساس کرده اید یا خیر.آیا هر یک از این احساسات چیزهایی است که در گذشته یا حال خود احساس کرده اید:,2,1,2,2
"لطفا سعی کنید در حالی که این پروتکل را طی می کنید ، روی خود و کار تمرکز کنید.در پایان ، دکمه ""ادامه"" را فشار دهید.",2,2,1,2
با عرض پوزش از شنیدن این که احساس می کنید ، خوب است که چنین احساسی داشته باشید ، تنها نیستید.آیا چیز خاصی وجود دارد که باعث می شود امروز چنین احساسی داشته باشید؟,2,2,2,2
بعد از انجام این کار چه احساسی دارید ، آیا احساس بهتری دارید یا بدتر؟,1,0,0,0
آیا متوجه می شوید که همیشه به نظر می رسد خود را به خاطر چیزهایی که اشتباه می شوند ، سرزنش می کنید ، حتی اگر هیچ کنترلی بر آنها نداشته باشید؟,1,0,1,1
می بینم.آیا می توانید به من بگویید که آیا علت این اضطراب اتفاقی است که چندی پیش اتفاق افتاده است یا اینکه اخیراً اتفاق افتاده است؟,0,1,2,1
لطفاً قبل از پاسخ دادن به سوال بعدی ، سعی کنید به روابط خود با دیگران نگاه کنید.آیا احساس می کنید سعی می کنید کسی را که به شما نزدیک است کنترل کنید؟,2,1,1,1
شما با من به اشتراک گذاشته اید که احساس اضطراب کرده اید ، و من اکنون دوست دارم به طور کلی درباره وضعیت عاطفی خود سؤال کنم.چگونه در مورد احساسات زیر ، آیا تاکنون به شدت احساس کرده اید یا آنها را نسبت به شخص دیگری ابراز کرده اید:,2,1,2,2
آیا در حال حاضر در زندگی شما اتفاق بزرگی رخ داده است که ممکن است باعث شود شما چنین احساسی داشته باشید؟,0,1,1,1
لطفاً پروتکل را انتخاب کنید که اکنون می خواهید آن را مشاهده کنید.,0,0,0,0
لطفا به من کمک کنید تا درک کنم چون می خواهم از هر راهی که می توانم از شما پشتیبانی کنم.آیا احساس می کنید در نظر گرفتن دیدگاه های دیگران خوب هستید؟,2,2,2,2
چه احساسی دارید که اکنون پروتکل را تکمیل کرده اید ، اگر ممکن است بپرسم؟من امیدوارم که احساس بهتری داشته باشید ، اما اگر احساس بدتر کنید ، خوب است ، فقط به من بگویید و من سعی می کنم کمک کنم.,1,2,2,2
آیا کسی برای احساس شما مقصر است؟,0,0,1,0
آیا این اتفاق به دلیل وضعیت اخیر یا دوردست رخ داده است؟,0,0,0,0
آیا مانند مشکلات مربوط به اعضای خانواده یا دوستان در وسط برخی از آسیب های شخصی هستید؟,1,0,0,0
اوه ، این خوب نیستآیا این مربوط به هر رویداد خاصی است که رخ داده است؟,1,2,2,2
متشکرم.من می دانم که همیشه آسان نیست ، اما هر چیزی که می توانید به من بگویید به من کمک می کند تا وضعیت شما را بهتر درک کنم.آیا اگر چند سوال دیگر از شما بپرسم ، فکر می کنید؟,2,2,2,2
من میفهمم.آیا این مربوط به اتفاقی است که اخیراً اتفاق افتاده است یا یک رویداد دورتر؟,0,1,2,1
آیا همیشه احساس می کنید که احساسات منفی یا تجربیات خود تقصیر شما است؟,0,0,1,0
با توجه به آنچه شما به من گفتید ، در اینجا برخی از پروتکل ها وجود دارد که می توانیم امتحان کنیم.لطفاً هر چیزی را که احساس می کنید اکنون از آن عبور کنید انتخاب کنید.,1,2,1,1
آیا ممکن است کسی را مقصر بدانید که احساس اذیت می کنید؟,1,1,2,1
اوه نه ، با عرض پوزش از شنیدن آنآیا این اتفاقی است که باعث ایجاد این احساسات شده است؟,2,2,2,2
خیلی ممنون از ورودی شمابرای من به نظر می رسد که شما در حال حاضر احساس می کنید} ، آیا این صدا دقیق به نظر می رسد؟,2,1,2,2
من توصیه هایی دارماگر می توانید ، لطفاً می توانید به من بگویید که کدام پروتکل امروز برای شما بهتر کار خواهد کرد؟,1,2,2,2
آیا احساس می کنید احساسات شما علت اقدامات دیگران است؟,0,1,1,1
خیلی خوب است که این را میشنوم.آیا علاقه مند به دیدن پروتکل هستید که می توانید امتحان کنید؟,2,1,2,2
من در اینجا چند پروتکل دارم که دوست دارم شما به آن نگاه کنید ، فکر می کنم آنها ممکن است بتوانند به شما کمک کنند.آیا می توانید از طریق آنها بخوانید و به من بگویید که فکر می کنید کدام یک برای شما مفیدتر است و دوست دارید امتحان کنید.,2,2,1,2
متشکرم ، شما تاکنون واقعاً شجاع بوده اید.من می خواهم ببینم که آیا می توانم با درک احساس شما و دلایل آن احساسات با پرسیدن چند سؤال دیگر از شما پشتیبانی کنم ، آیا این با شما خوب است؟,2,2,2,2
اگر یک گرز جادویی داشتید ، آیا افرادی وجود دارند که اکنون از زندگی خود حذف می کنید ، تا احساس بهتری داشته باشید؟,1,0,0,0
در یک لحظه می خواهم برخی از احساسات را ذکر کنم.آیا هیچ یک از این احساسات را به شدت در مورد کسی احساس کرده اید یا حتی روی آنها عمل کرده اید:,1,0,1,1
در حالی که شما تحریک شده اید ، آیا اغلب خود را می بینید که سعی در کنترل افراد دیگر دارید؟,0,0,1,0
آیا این رویداد اخیراً یا چندی پیش اتفاق افتاده است؟,0,0,0,0
آیا در موقعیتی که نمی توانید به شخص دیگری کمک کنید دشوار است؟,0,1,0,0
بعضی اوقات دیگران باعث رنج ما می شوند ، اما در موارد دیگر ممکن است این باشد که ما از مسئولیت اقدامات و انتخاب های خود جلوگیری می کنیم.آیا احساس می کنید به دلیل افراد دیگر رنج برده اید؟,2,1,2,2
متشکرم ، من می فهممآیا شما اعتقاد دارید که این تقصیر شخص دیگری است که احساس کمتری دارید؟,1,1,2,1
با تشکر از شما برای به اشتراک گذاشتن این با من ، می فهمم که می تواند دشوار باشد.من می خواهم از شما بپرسم که آیا اخیراً به پروتکل 11 اقدام کرده اید و اگر چنین است ، اگر در نتیجه آن احساس مضرات بیشتری کرده اید.,2,2,2,2
فکر می کنید الان می توانید سعی کنید شخص دیگری را کنترل کنید؟,1,0,1,1
آیا ممکن است احساس کنید که جهان در حال حاضر علیه شما است؟,1,1,0,1
این خوب نیست ، اما ما هنوز هم می توانیم آن را برطرف کنیم.همانطور که پیشنهاد کرده اید بعد از آن پروتکل احساس بهتری ندارید ، آیا دوست دارید یک مورد دیگر را امتحان کنید و ببینید که چگونه پیش می رود؟,2,1,2,2
آیا احساس کرده اید که شاید توسط شخص دیگری قربانی شده اید؟,2,0,1,1
آیا می گویید این نتیجه یک رویداد از گذشته اخیر یا دور است؟,1,0,1,1
فکر می کنید چه اتفاقی در زندگی شما این احساس را برانگیخته است ، آیا این یک یا چند مورد اخیر در گذشته بود؟,1,1,1,1
خوب ، و در مورد احساسات شما نسبت به اطرافیان چیست.آیا می گویید شما کسی هستید که در این شرایط دچار مشکل شده اید و این تقصیر شخص دیگری است؟,2,1,1,1
آیا می گویید که همیشه در گوش دادن به نظرات افراد دیگر باز بوده اید؟,1,0,1,1
آیا نگران هرگونه مسائل شخصی بین شما و افراد نزدیک به خود هستید؟,1,0,0,0
آیا می توانید به من اطلاع دهید که آیا اخیراً روی پروتکل 11 کار کرده اید و این احساسات بدی را از گذشته به وجود آورده است؟,1,0,1,1
آیا همیشه خود را به خاطر اشتباهات خود مقصر می دانید؟,1,0,0,0
آیا می توانید با من به اشتراک بگذارید که آیا شما به شدت احساس احساسات زیر را احساس کرده اید:,1,0,1,1
تمرینات موجود در پروتکل 6 برای برخی می تواند دشوار باشد ، بنابراین من می خواهم بدانم که آیا آنها می توانند انتخاب مناسبی برای شما باشند.آیا تمرینات موجود در پروتکل 6 را انجام داده اید و آنها را دشوار یا آسیب زا می دانید؟,2,1,2,2
آیا احساس می کنید دچار مشکل شده اید و هیچ کس نمی تواند به شما کمک کند؟,0,1,1,1
چه زمانی این اتفاق افتاد ، اخیراً یا چندی پیش بود؟,0,0,1,0
آیا احساس می کنید بحران شخصی دارید ، به عنوان مثال ، یک زمان دشوار با خانواده یا دوستان یا سایر عزیزان؟,1,1,2,1
متاسفم که شما احساس خوبی ندارید.آیا اتفاقی افتاده است که شما را اینگونه احساس کند؟,1,2,2,2
آیا اخیراً در تلاش بودید با پروتکل 11 به جلو بروید و آیا ترومای که مورد بررسی مجدد قرار گرفتید ، مقابله با آن بسیار دشوار شد؟,1,1,2,1
آیا فکر می کنید ممکن است در جایی در ذهن شما اتفاق بیفتد و احساس کنید که باید به عنوان چهره ناجی برای برخی از افراد دیگر در زندگی خود عمل کنید؟,1,1,2,1
لطفا این را امتحان کنیدبه من اطلاع دهید که آیا این برای شما کار می کند و پس از اتمام ، ادامه دهید.,1,1,1,1
طبیعی است که خودمان را مقصر بدانیم وقتی اتفاقی می افتد که به ما آسیب می رساند ، اما اگر همیشه این کار را انجام دهیم ، می تواند به احساسات بسیار عصبانی تبدیل شود.آیا فکر می کنید همیشه تمایل دارید که خود را به خاطر هر اشتباهی سرزنش کنید؟,2,1,2,2
متشکرم.در اینجا هیچ پاسخ درست یا اشتباهی وجود ندارد ، خوب است که فقط چیزها را کشف کنید.آیا فکر می کنید وقتی همه چیز به روشی که می خواهید انجام ندهید ، همیشه مسئول هستید؟,2,2,2,2
آیا احساس می کنید کسی تا حدودی مقصر احساسات منفی شما است؟,0,1,1,1
متشکرم ، بیایید کمی بیشتر در مورد این احساس شما تأمل کنیم.آیا به نظر می رسد که مقصر بودن مشکلات و احساسات خود را بر دیگران آسان یا طبیعی می دانید؟,2,1,2,2
من کاملاً می فهمم که شما چه احساسی دارید و باید خیلی سخت باشد.اگر ممکن است بپرسم ، آیا احساس می کنید هر یک از این احساسات را به کسی ابراز کرده اید:,2,2,2,2
آیا می خواهید هر یک از آنها را امتحان کنید؟,0,0,0,0
آیا می توانم از شما بپرسم در خانه ، محل کار یا با دوستان مشکل دارید؟,2,1,1,1
آیا فکر می کنید شاید اخیراً هیچ یک از این احساسات را احساس کرده باشید:,0,0,1,0
من فکر می کنم یکی از این پروتکل ها ممکن است به شما کمک کند.دوست دارید کدام پروتکل را امتحان کنید؟,0,1,0,0
من می فهمم ، متشکرمآیا شما ناراضی هستید زیرا شخص دیگری باعث شده است که احساس بدی داشته باشید ، مثل اینکه به آنها آسیب رسانده اید و قربانی هستید؟,1,1,2,1
آیا این اتفاق اخیراً رخ داده است ، یا این یک خاطره از گذشته دور است؟,0,0,1,0
متاسفم که شما عصبانی هستید ، و من نمی دانم که آیا این ممکن است نشانه چیز بزرگتر باشد.آیا اخیراً مشکلات عمده دیگری در زندگی شما رخ داده است؟,2,2,2,2
آیا حاضرید پروتکل دیگری را امتحان کنید که ممکن است بهتر عمل کند؟,1,1,2,1
آیا فکر می کنید کسی مسئول احساس منفی شما است؟,0,1,0,0
آیا اخیراً سعی کرده اید پروتکل 11 را طی کنید و در نتیجه ، احساسات کنترل نشده ای داشتید که با اتفاقاتی که در گذشته اتفاق افتاده است ، بازگردانده می شدند؟,1,1,1,1
در مورد امتحان کردن یک پروتکل متفاوت و دیدن اینکه آیا این باعث می شود احساس بهتری داشته باشید؟,1,0,0,0
آیا این احساس ناشی از یک رویداد خاص بود؟,0,0,0,0
بیایید امروز به اینجا پایان دهیم ، متشکرم که با من صحبت کردید و امیدوارم این گفتگو مفید بوده باشد.مشتاقانه منتظر دیدن شما به زودی دوباره هستم.,2,2,2,2
آیا فکر می کنید گاهی اوقات مردم را ترغیب می کنید به روشی که فکر می کنید باید رفتار کنند؟,0,1,1,1
آیا در حال حاضر چیزی نگران کننده در زندگی شما وجود دارد؟,0,0,0,0
این فوق العاده است!اگر دوست دارید می توانم پروتکل را برای تقویت روحیه فعلی شما پیشنهاد کنم.,1,2,2,2
متشکرم.من این تصور را می گیرم که احساس می کنید {} ، درست است؟,1,0,0,0
من می خواهم پروتکل های زیر را توصیه کنم اگر این با شما خوب است.می توانید یکی از مواردی را که ترجیح می دهید برای مشاهده محتوای آن انتخاب کنید.,1,2,2,2
بسیار از شما متشکرم.من الان چند سوال دارم که به درک وضعیت شما کمک می کنم.,1,2,1,1
متاسفم که در مورد آن شنیدمآیا این اتفاق اخیراً یا چندی پیش اتفاق افتاده است؟,1,1,2,1
من واقعاً از تلاش شما قدردانی می کنم ، از اینکه شرکت کردید متشکرم.بیایید به زودی دوباره صحبت کنیم.,1,2,2,2
آیا انجام پروتکل 11 شما را ناراحت کرد؟,0,0,1,0
احساس اضطراب می تواند با احساسات دیگر نیز مخلوط شود ، و من می خواهم ببینم که آیا شما هر یک از موارد موجود در این لیست را می شناسید یا اینکه به نظر شما آشنا است.آیا قبلاً هیچ یک از احساسات زیر را به شدت تجربه کرده اید:,1,2,2,2
آیا به شما کمک کرده است؟,0,0,0,0
آیا این اتفاقی است که اخیراً اتفاق افتاده است یا در گذشته؟,0,1,1,1
از پاسخ های شما تاکنون متشکرمآیا می توانم بپرسم که آیا احساس می کنید که در حال حاضر دچار یک بحران شخصی شده اید ، یا اگر مشکلات بین فردی غیرقابل کنترل را با اطرافیان خود تجربه می کنید؟,2,1,2,2
من می فهمم که این ممکن است برای شما دشوار باشد.آیا می توانم فقط بپرسم ، آیا این اتفاقی است که اخیراً افتاده است یا مدتی؟,2,2,2,2
آیا احساس نیاز به ناجی شخص دیگری در زندگی خود را دارید؟,0,0,1,0
آه ، من می بینمآیا این اتفاقی است که اخیراً اتفاق افتاده است یا چندی پیش؟,0,1,1,1
آیا می توانم بپرسم که آیا اخیراً یا مدتها پیش این اتفاق افتاده است؟,2,1,1,1
آیا می فهمید که دیگران اغلب مقصر چیزهایی هستند که در اطراف شما اشتباه می شوند؟,1,1,1,1
با تشکر از شما برای شجاعت و به اشتراک گذاشتن احساسات امروز ، من از این امر قدردانی می کنم.من منتظر جلسه بعدی خود هستم.,2,1,2,2
آیا این رویداد اخیراً اتفاق افتاده است یا در گذشته؟,0,0,0,0
آیا شما اعتقاد دارید که این تقصیر شخص دیگری است که احساس کمتری دارید؟,0,1,0,0
آیا تا به حال تصور می کنید که به غیر از خود نظر خود را داشته باشید؟,1,0,0,0
اگر به اشتراک گذاری ندارید ، آیا به دلیل یک حادثه خاص اینگونه احساس می کنید؟,2,1,2,2
با تشکر ، شما امروز درخشان بودید.امیدوارم به زودی شما را ببینم ، خداحافظ!,1,1,0,1
آیا شما اعتقاد دارید که نجات زندگی شخصی یا کاهش مشکلات آنها باعث می شود احساس بهتری نسبت به خود داشته باشید؟,1,0,0,0
آیا در این شرایط احساس قربانی می کنید؟,1,0,0,0
آیا اتفاق خاصی رخ داده است که منجر به این امر شد؟,0,0,1,0
متشکرم ، متاسفم که شما در حال حاضر در حال تلاش هستید و می خواهید کمک کنید.بیایید به سؤالات بعدی برویم و سعی کنیم این وضعیت را حل کنیم.,2,2,2,2
متاسفم که می شنوم احساس بدتر می کنید.آیا احساس می کنید سعی می کنید پروتکل دیگری را انجام دهید؟,2,1,2,2
آیا هیچ یک از احساسات زیر را تجربه کرده اید یا می خواهید آنها را نسبت به شخص دیگری بیان کنید:,0,0,1,0
در قلب قلب شما ، آیا این یک بحران شخصی است که شما تجربه می کنید ، یا از طرف عزیزان یا دوستان خود احساس صدمه می کنید؟,1,1,2,1
آیا ممکن است برای رفع وضعیت خود و احساس بهتر ، شما سعی می کنید دیگران را در زندگی خود کنترل کنید؟,2,1,2,2
متشکرم.آیا می گویید که شاید شما سعی در کنترل شخص دیگری دارید ، آنها را وادار کنید که آنچه را که می خواهید انجام دهند انجام دهند یا آنچه را که می خواهید بشنوید بگویید؟,1,2,2,2
می بینم ، متشکرمآیا خود را قربانی شخص دیگری می دانید؟,1,0,1,1
خیلی ممنون که با من صحبت کردیدمن مشتاقانه منتظر صحبت دوباره به زودی هستم.,1,1,2,1
آیا می توان غم و اندوه شما را با برخی از مشکلات بزرگتر ، مانند یک بحران بین المللی بین شما و عزیزانتان مرتبط کرد؟,2,1,1,1
متاسفم که می شنوم احساس غم و اندوه می کنید.آیا می دانید چه چیزی منجر به چنین احساس غم انگیز شد ، آیا این یک رویداد خاص بود؟,1,2,2,2
با تشکر از انجام این کارآیا این تفاوت ایجاد کرده است؟آیا الان احساس بهتری دارید یا بدتر؟,1,1,2,1
من می دانم که این ممکن است دشوار باشد ، اما می توانید کمی بیشتر در مورد احساسات خود به من بگویید.من می خواهم بدانم که آیا شما هیچ یک از این احساسات را نسبت به شخص دیگری احساس کرده اید:,2,2,2,2
به غیر از آنچه شما ذکر کردید ، هر یک از این احساسات نیز در آنچه اخیراً تجربه کرده اید درگیر است:,1,1,2,1
الان چه احساسی دارید؟بعد از گرفتن این پروتکل ، آیا فکر می کنید احساس بهتری نسبت به گذشته دارید؟,0,1,1,1
آیا این اتفاق اخیراً رخ داده است یا مدتی برگشت؟,0,0,0,0
آیا شخص دیگری را به خاطر این احساسات منفی که با آنها سر و کار دارید مقصر می دانید؟,0,0,1,0
آیا می گویید که اغلب به خودتان خیلی سخت هستید؟,0,1,1,1
با توجه به آنچه در نظر گرفته اید ، معتقدم که شما احساس می کنید {} ، آیا این مورد است؟لطفاً اگر نه ، مرا اصلاح کنید.,1,2,2,2
آیا ناجی شخص دیگری برای شما مهم است و آیا شما خوب است؟,1,0,1,1
اگر ممکن است بپرسم ، آیا تا به حال خود را به خاطر روشی که احساس می کنید ، مقصر دیگران هستید؟,1,2,2,2
اوه ، این خوب نیستفکر می کنید ما می توانیم دوباره امتحان کنیم ، شاید با یک پروتکل کاملاً متفاوت؟,2,2,2,2
آیا وقتی چیزی درست نیست یا اشتباه می شود ، تمایل دارید که همیشه سرزنش و متهم کنید؟,0,0,1,0
آیا اخیراً اتفاقی افتاده است که باعث شده است که از شبکه پشتیبانی دوستان و خانواده خود احساس بیگانه کنید؟,1,0,1,1
آیا کسی شما را آزار داده است ، یا شما را نگران کرده است ، و آیا از آنها ناراحت هستید زیرا آنها اینقدر مشکل ایجاد کرده اند؟,1,0,0,0
اگر ممکن است بپرسم ، آیا دیگران را به خاطر امروز احساس می کنید؟,1,0,1,1
آیا فکر می کنید ممکن است دیدگاههای دیگری وجود داشته باشد که در وضعیت فعلی شما قابل توجه باشد؟,1,1,1,1
اگر من به درستی درک می کنم ، شما به عنوان {} شناخته می شوید ، آیا این یک ارزیابی عادلانه است؟,1,1,2,1
آیا وضعیت شما باعث می شود احساس کنید که شخص دیگری مقصر بوده است؟,1,0,1,1
اگر ممکن است بپرسم ، آیا شما در حال حاضر با مسائل شخصی دست و پنجه نرم می کنید؟,1,1,2,1
آیا دوست دارید یکی را انتخاب کنید؟,0,0,0,0
چطور می توانیم یکی دیگر را امتحان کنیم؟,0,0,1,0
من تعجب می کنم ، آیا فکر می کنید پروتکل 6 برای تجدید نظر در این رویداد ، اگر این کار را کرده اید ، ممکن است در این احساس نقش داشته باشد؟,2,1,2,2
آیا می توانم از شما بپرسم که آیا الان احساس قربانی می کنید و احساسات خود را به دیگران سرزنش می کنید؟,0,1,1,1
آیا احساس می کنید وقتی فکر می کنید اوضاع پیش نمی رود ، همیشه ناخواسته به خود آسیب می رسانید؟,1,1,2,1
آیا فکر می کنید ممکن است قدرت تأثیرگذاری بر شخص دیگری داشته باشید یا بخواهید؟,1,0,0,0
بعضی اوقات افراد می توانند در هنگام آزمایش پروتکل 6 تحت تأثیر منفی قرار بگیرند. آیا اخیراً سعی کرده اید از پروتکل 6 استفاده کنید و تجربه را ناراحت کننده دانستید؟,2,1,1,1
آیا احساس قربانی شدن دارید و احساس می کنید شخص دیگری در اطراف شما باعث می شود این احساس را داشته باشید؟,0,1,0,0
لطفا به من کمک کنید تا بیشتر درک کنمآیا این یک رویداد اخیر است که اتفاق افتاده است یا چیزی از گذشته دور است؟,1,2,2,2
امیدوارم با صحبت کردن در مورد آن مشکلی نداشته باشید.آیا این چیزی است که باعث اضطراب شما اخیر شده است یا در گذشته چیزی دور بود؟,2,2,2,2
آیا خود را کسی می دانید که وقتی صحبت از مکالمات شما می شود ، به سایر نقاط دیدنی گوش می دهد؟,0,0,1,0
من در مورد برخی از پروتکل ها چند ایده دارم که فکر می کنم واقعاً به نفع شما باشد.دوست دارید کدام یک را امتحان کنید؟,2,1,2,2
آیا وقتی همه چیز اشتباه می شود ، خود را همیشه سرزنش می کنید؟,0,0,1,0
پروتکل های متنوعی وجود دارد که می توانیم امتحان کنیم ، من می خواهم یکی را پیدا کنم که برای شما بهتر باشد.لطفاً پیش بروید و نگاهی بیندازید ، می توانید هر پروتکل را که احساس راحتی می کنید انتخاب کنید.,2,1,2,2
من برای آن بسیار متاسفمآیا می توانید احساساتی را که در حال حاضر در حال حاضر از آن احساس می کنید برجسته کنید؟,2,2,2,2
از اینکه باز و با من به اشتراک گذاشتید متشکرم.به نظر می رسد امروز {} ، آیا این را هم می گویید؟,2,2,2,2
آیا می توانید کمی به من کمک کنید تا مطمئن شوید که می فهمم؟در اینجا یک لیست وجود دارد - لطفا به من اطلاع دهید که کدام یک از چه احساسی را توصیف می کند:,2,1,1,1
آیا این وضعیت دشوار باعث شده است که شما هر یک از این احساسات را داشته باشید و یا روی آنها عمل کنید:,1,0,1,1
آیا این لحظه از زندگی خود را به عنوان یک زمان شدید و پیچیده توصیف می کنید که در آن شما ، روابط و محبت های خود به شدت مورد چالش قرار می گیرید؟,2,2,2,2
آیا سعی کرده اید از دیدگاه شخص دیگری به چیزها نگاه کنید ، و آیا این کمک کرده است؟,2,1,1,1
من می دانم که صحبت کردن در مورد این موارد دشوار است ، بنابراین از شما برای باز کردن من متشکرم.آیا می خواهید کمی بیشتر در مورد اینکه این حادثه اتفاق افتاد ، به من بگویید ، آیا این یک حادثه اخیر یا چیزی در گذشته بود؟,2,2,2,2
آیا می توانم پروتکل را برای کمک به تقویت و حفظ احساسات خوب پیشنهاد کنم ، واقعاً ممکن است کمک کند؟,1,1,2,1
خیلی متاسفم که این را می شنوم.آیا می توانید یک رویداد خاص را شناسایی کنید که باعث شده شما چنین احساسی داشته باشید؟,1,2,2,2
خوب من می بینم ، لطفا در مورد آن بیشتر به من بگویید.چه زمانی این اتفاق افتاد ، اخیراً یا چندی پیش؟,1,2,2,2
آیا احساس می کنید دیگران مسئول احساسات منفی شما هستند؟,0,1,1,1
آیا شما همیشه مسئولیت را بر عهده دارید ، حتی اگر ممکن است تقصیر شما نباشد؟,1,1,1,1
اگر ممکن است بپرسم ، فکر می کنید این تقصیر شخص دیگری است که شما این عصبانیت را احساس می کنید؟,1,2,2,2
آیا این امکان وجود دارد که غم و اندوه شما با عدم توانایی نجات شخصی در زندگی خود که احساس می کنید نیاز به پس انداز دارد ، ایجاد شود؟,2,1,2,2
این توصیه های من است.لطفاً پروتکل مورد نظر خود را انتخاب کنید.,0,1,0,0
آیا سعی می کنید کسی را کنترل کنید که غیر فعال باشد؟,0,0,0,0
این یک احساس عالی است.آیا می توانم پروتکل را برای کمک به تقویت و حفظ احساسات خوب پیشنهاد کنم ، واقعاً ممکن است کمک کند؟,2,1,1,1
به عنوان دوست شما ، همیشه می توانید هر چیزی را به من بگویید و من سعی می کنم به بهترین توانایی های خود کمک کنم.آیا می توانید به من بگویید که آیا اتفاقی افتاده است که باعث می شود چنین احساسی داشته باشید؟,2,2,2,2
خیلی متاسفم.اگر می خواهید یک مورد دیگر را امتحان کنید ممکن است یک پروتکل بهتر وجود داشته باشد؟,1,1,2,1
آیا چیزی خاص این احساس را به همراه داشت؟,0,0,0,0
من می فهمم که شما احساس اضطراب می کنید.علاوه بر این احساس ، آیا اخیراً هیچ یک از احساسات زیر را نسبت به کسی احساس کرده اید:,1,2,2,2
لطفاً یکی را انتخاب کنید که فکر می کنید برای شما مناسب تر است.,1,0,0,0
آیا می توانم بپرسم که آیا چیز خاصی باعث این احساس شده است؟,1,1,2,1
آیا ممکن است این باشد که شما سعی در نجات شخصی دارید؟,0,1,1,1
فکر می کنید باید خود را برای دیگران فدا کنید؟,0,0,0,0
با توجه به آنچه در نظر گرفته اید ، معتقدم که شما احساس می کنید {} ، آیا این مورد است؟لطفاً اگر نه ، مرا اصلاح کنید.,2,1,2,2
آیا تا به حال احساس می کنید که سعی در کنترل کسی دارید؟,0,0,1,0
حالا من چند سؤال خواهم پرسید تا وضعیت شما را بفهمم.,0,0,0,0
من می خواهم کمی در مورد چگونگی مشاهده نقش خود در حلقه اجتماعی خود بدانم.آیا اغلب احساس می کنید که وظیفه شماست که دیگران را نجات دهید ، یا اینکه افراد دیگر از شما انتظار دارند اینگونه باشید؟,2,2,2,2
آیا آن رویداد اخیر بود یا در گذشته شما دورتر بود؟,0,0,1,0
آیا این به دلیل اتفاقی است که اخیراً اتفاق افتاده است ، یا از گذشته های دورتر چیزی را به خاطر می آورید؟,1,1,2,1
آیا شخص دیگری مقصر است که شما را قربانی کند؟,0,1,0,0
الان شما چه احساسی دارید؟امیدوارم که برای شما فایده داشته باشد.,2,2,2,2
آیا تا به حال تصور می کنید که به غیر از خود نظر خود را داشته باشید؟,0,0,1,0
آیا چیزی اخیر یا دوردست باعث ایجاد این احساسات شده است؟,0,0,0,0
آیا اتفاقی افتاده است؟,0,0,0,0
آیا همیشه سعی می کنید نسبت به خود انتقاد کنید؟,0,0,1,0
من می خواهم از شما تشکر کنم که امروز افکار و احساسات خود را با من به اشتراک گذاشتید.من واقعاً دوست دارم به زودی دوباره شما را ببینم ، بنابراین لطفاً وقتی می توانید کنار بگذارید.,2,2,2,2
متاسفم که این را شنیدم ، امیدوارم که وقتی این اتفاق افتاد با من به اشتراک نگذارید؟اخیر بود یا دور؟,1,2,2,2
آیا واقعاً احساس ناراحتی در این رویداد منفی گذشته می کنید؟,0,1,1,1
آیا فکر کرده اید به موقعیت ها و مکالمات قبلی با دیگران ، آیا تا به حال از روند فکر خود قدم برداشته اید و دیدگاه های اندیشه ای را که ممکن است شما را به چالش بکشد ، اندیشیده اید؟,1,2,2,2
به من اطلاع دهید که کدام پروتکل را ترجیح می دهید امتحان کنید.,0,0,0,0
آیا استفاده از پروتکل 6 پس از این اتفاق ، احساسات شما را بر اساس این وضعیت گذشته غیرقابل کنترل تر کرد؟,1,0,0,0
طبیعی است که خودمان را به خاطر مشکلات خود مقصر بدانیم ، اما باید مراقب باشیم که این کار را به یک عادت مخرب تبدیل نکنیم.آیا متوجه می شوید که همیشه خود را به خاطر هر چیزی که اشتباه می شود سرزنش می کنید؟,2,2,2,2
آیا در روابط شخصی خود مشکل دارید (به عنوان مثال با یک دوست با یک دوست)؟,0,0,1,0
آیا شما به شدت احساس کرده اید یا احساسات زیر را نسبت به شخص دیگری که از آن آگاه هستید ابراز کرده اید:,0,1,1,1
آیا احساس می کنید به شما آسیب رسانده اید و این تقصیر شخص دیگری است؟,0,1,1,1
ببخشید شما احساس بدتری داریدشاید ما باید در کنار هم بنشینیم و پروتکل دیگری را امتحان کنیم که ممکن است برای شما مفیدتر باشد؟,1,2,2,2
آیا در مورد آن فکر می کنید ، آیا واقعاً دیدگاه ها و دیدگاه های دیگری را در گذشته در نظر گرفته اید؟,0,1,1,1
آیا شخص دیگری باعث غم و اندوه شما می شود؟,0,1,0,0
